Incident Begin Date,Incident End Date,State,State2,countyCode,Sequence,sequenceLength,sequenceLocation,Event
2015/10/1,2015/10/23,SC,South Carolina,45001,1,5,1,1
2016/10/4,2016/10/30,SC,South Carolina,45001,1,5,2,1
2017/9/6,2017/9/13,SC,South Carolina,45001,1,5,3,1
2018/9/8,2018/10/8,SC,South Carolina,45001,1,5,4,1
2019/8/31,2019/9/6,SC,South Carolina,45001,1,5,5,1
2022/9/25,2022/10/4,SC,South Carolina,45001,0,1,1,2
2012/8/26,2012/9/10,LA,Louisiana,22001,1,2,1,4
2013/1/8,2013/1/17,LA,Louisiana,22001,1,2,2,4
2016/8/11,2016/8/31,LA,Louisiana,22001,1,2,1,5
2017/8/27,2017/9/10,LA,Louisiana,22001,1,2,2,5
2019/7/10,2019/7/15,LA,Louisiana,22001,1,8,1,6
2020/6/5,2020/6/9,LA,Louisiana,22001,1,8,2,6
2020/8/22,2020/8/27,LA,Louisiana,22001,1,8,3,6
2020/9/13,2020/9/16,LA,Louisiana,22001,1,8,4,6
2020/10/6,2020/10/10,LA,Louisiana,22001,1,8,5,6
2020/10/26,2020/10/29,LA,Louisiana,22001,1,8,6,6
2021/8/26,2021/9/3,LA,Louisiana,22001,1,8,7,6
2021/9/12,2021/9/18,LA,Louisiana,22001,1,8,8,6
2012/8/26,2012/9/11,MS,Mississippi,28001,0,1,1,9
2017/4/30,2017/4/30,MS,Mississippi,28001,0,1,1,10
2020/8/23,2020/8/29,MS,Mississippi,28001,1,4,1,11
2020/9/14,2020/9/17,MS,Mississippi,28001,1,4,2,11
2020/10/7,2020/10/11,MS,Mississippi,28001,1,4,3,11
2021/8/28,2021/9/1,MS,Mississippi,28001,1,4,4,11
2015/10/1,2015/10/23,SC,South Carolina,45003,1,6,1,12
2016/10/4,2016/10/30,SC,South Carolina,45003,1,6,2,12
2017/9/6,2017/9/13,SC,South Carolina,45003,1,6,3,12
2018/9/8,2018/10/8,SC,South Carolina,45003,1,6,4,12
2019/8/31,2019/9/6,SC,South Carolina,45003,1,6,5,12
2020/4/12,2020/4/13,SC,South Carolina,45003,1,6,6,12
2022/9/25,2022/10/4,SC,South Carolina,45003,0,1,1,13
2016/8/31,2016/9/11,FL,Florida,12001,1,4,1,15
2017/9/4,2017/10/18,FL,Florida,12001,1,4,2,15
2018/10/7,2018/10/19,FL,Florida,12001,1,4,3,15
2019/8/28,2019/9/9,FL,Florida,12001,1,4,4,15
2020/11/7,2020/11/12,FL,Florida,12001,1,2,1,16
2021/7/4,2021/7/8,FL,Florida,12001,1,2,2,16
2022/9/23,2022/11/4,FL,Florida,12001,1,2,1,17
2022/11/7,2022/11/30,FL,Florida,12001,1,2,2,17
2017/1/3,2017/1/12,CA,California,6001,1,3,1,18
2017/1/18,2017/1/23,CA,California,6001,1,3,2,18
2017/2/1,2017/2/23,CA,California,6001,1,3,3,18
2019/2/22,2019/8/23,MS,Mississippi,28003,1,2,1,22
2019/10/26,2019/10/26,MS,Mississippi,28003,1,2,2,22
2021/8/28,2021/9/1,MS,Mississippi,28003,0,1,1,23
2012/8/26,2012/9/10,LA,Louisiana,22003,0,1,1,25
2016/3/8,2016/4/8,LA,Louisiana,22003,0,1,1,26
2017/8/27,2017/9/10,LA,Louisiana,22003,0,1,1,27
2019/7/10,2019/7/15,LA,Louisiana,22003,1,8,1,28
2020/6/5,2020/6/9,LA,Louisiana,22003,1,8,2,28
2020/8/22,2020/8/27,LA,Louisiana,22003,1,8,3,28
2020/9/13,2020/9/16,LA,Louisiana,22003,1,8,4,28
2020/10/6,2020/10/10,LA,Louisiana,22003,1,8,5,28
2020/10/26,2020/10/29,LA,Louisiana,22003,1,8,6,28
